train,test
8.25206372530081,7.778368245360457
7.57682435882311,7.580035702304129
7.287774889390248,7.148790411293367
6.320571435689648,5.863921375819297
5.55199983973682,5.358153172445186
5.16043040450151,5.025166419099817
4.875992665345562,4.854091391474495
